NAME,ADDRESS,STATE,LATITUDE,LONGITUDE,TELEPHONE
23D MEDICAL GROUP,3278 MITCHELL BOULEVARD,GA,30.97656122,-83.20729272,(229) 257-2778
30TH ADJUTANT GENERAL RECEPTION BATTALION - TMC 4,7950 MARTIN LOOP,GA,33.42351282,-82.15805095,(706) 544-9493
78TH MEDICAL GROUP,"655 7TH STREET, BUILDING 700, TRICARE OPERATIONS",GA,32.60402708,-83.58557011,(478) 327-7850
DWIGHT D. EISENHOWER ARMY MEDICAL CENTER,300 EAST HOSPITAL ROAD,GA,33.43033285,-82.12589716,(706) 787-5811
MARTIN ARMY COMMUNITY HOSPITAL,6600 VAN AALST BOULEVARD,GA,32.37180614,-84.92818509,(762) 408-2604
WINN ARMY COMMUNITY HOSPITAL,1061 HARMON AVE,GA,31.87225696,-81.60038895,(912) 435-6965
ADVENTHEALTH GORDON,1035 RED BUD ROAD,GA,34.5102282,-84.926543,(706) 629-2895
ADVENTHEALTH MURRAY,"707 OLD DALTON ELLIJAY ROAD, PO BOX 1406",GA,34.780041,-84.78317545,(706) 517-2031
APPLING HOSPITAL,163 E TOLLISON STREET,GA,31.76931073,-82.34884932,(912) 367-9841
ATRIUM HEALTH NAVICENT REHABILITATION HOSPITAL,3351 NORTHSIDE DRIVE,GA,32.89327202,-83.68046992,(478) 471-6500
ATRIUM HEALTH NAVICENT THE MEDICAL CENTER,777 HEMLOCK STREET,GA,32.83325388,-83.63550532,(478) 633-1000
AU MEDICAL CENTER,1120 15TH STREET,GA,33.47087633,-81.98970572,(706) 721-6569
BACON COUNTY HOSPITAL,302 SOUTH WAYNE STREET,GA,31.53947121,-82.45868668,(912) 632-8961
BLECKLEY MEMORIAL HOSPITAL,145 PEACOCK STREET,GA,32.38492234,-83.34685487,(478) 934-6211
BROOKS COUNTY HOSPITAL,903 N COURT STREET,GA,30.795015,-83.55906957,(912) 263-4171
BURKE MEDICAL CENTER,351 SOUTH LIBERTY STREET,GA,33.08347574,-82.01246217,(706) 554-4435
CANDLER COUNTY HOSPITAL,400 CEDAR STREET,GA,32.40713253,-82.06552421,(912) 685-5741
CANDLER HOSPITAL,5353 REYNOLDS STREET,GA,32.02816667,-81.10010925,(912) 819-6000
CHATUGE REGIONAL HOSPITAL,110 S MAIN STREET,GA,34.94657646,-83.7539153,(706) 896-2222
CHI MEMORIAL HOSPITAL - GEORGIA,100 GROSS CRESCENT CIRCLE,GA,34.94687793,-85.26367959,(770) 874-5400
CHILDREN'S HEALTHCARE OF ATLANTA AT EGLESTON,1405 CLIFTON ROAD NE,GA,33.79357068,-84.3196501,(404) 785-6101
CHILDREN'S HEALTHCARE OF ATLANTA AT SCOTTISH RITE,1001 JOHNSON FERRY ROAD,GA,33.90608164,-84.35395184,(404) 785-5252
CLINCH MEMORIAL HOSPITAL,1050 VALDOSTA HIGHWAY,GA,31.03410008,-82.76427224,(912) 487-5211
COASTAL BEHAVIORAL HEALTH,633 STEPHENSON AVENUE,GA,32.00984663,-81.10183392,(912) 354-3911
COASTAL HARBOR TREATMENT CENTER,1150 CORNELL AVE,GA,32.01225143,-81.09558137,(912) 354-3911
"COFFEE REGIONAL MEDICAL CENTER, INC",1101 OCILLA ROAD,GA,31.51118816,-82.8645826,(912) 383-5620
COLQUITT REGIONAL MEDICAL CENTER,"3131 THOMASVILLE HWY, PO BOX 40",GA,31.1256301,-83.78037885,(229) 985-3420
"COLUMBUS SPECIALTY HOSPITAL, INC",616 19TH STREEET,GA,32.48021093,-84.98461848,(706) 494-4075
CRISP REGIONAL HOSPITAL,902 7TH STREET NORTH,GA,31.97752285,-83.78134503,(229) 276-3100
DOCTORS HOSPITAL,3651 WHEELER ROAD,GA,33.48615997,-82.09443245,(706) 651-6008
DODGE COUNTY HOSPITAL,901 GRIFFIN AVE,GA,32.18556223,-83.17787676,(478) 448-4067
DONALSONVILLE HOSPITAL INC,102 HOSPITAL CIR,GA,31.05123779,-84.88063362,(229) 524-5217
DORMINY MEDICAL CENTER,"200 PERRY HOUSE ROAD, BOX 1447",GA,31.69756452,-83.26014598,(229) 424-7100
EAST CENTRAL REGIONAL HOSPITAL,3405 MIKE PADGETT HWY,GA,33.39693217,-82.01187344,(706) 792-7006
EAST GEORGIA REGIONAL MEDICAL CENTER,1499 FAIR ROAD,GA,32.41479139,-81.76996101,(912) 486-1500
EFFINGHAM HEALTH SYSTEM,459 GA HIGHWAY 119 SOUTH,GA,32.36383517,-81.32091296,(912) 754-0160
ELBERT MEMORIAL HOSPITAL,4 MEDICAL DRIVE,GA,34.11339324,-82.8749545,(706) 213-2535
EMANUEL MEDICAL CENTER,117 KITE ROAD,GA,32.59249776,-82.34780425,(478) 289-1304
EMORY DECATUR HOSPITAL,2701 N DECATUR ROAD,GA,33.79108914,-84.2829101,(404) 501-1000
EMORY HILLANDALE HOSPITAL,2801 DEKALB MEDICAL PARKWAY,GA,33.70522032,-84.14798272,(404) 501-8040
EMORY JOHNS CREEK HOSPITAL,6325 HOSPITAL PARKWAY,GA,34.06667514,-84.17662808,(678) 474-7000
EMORY LONG TERM ACUTE CARE,450 NORTH CANDLER STREET,GA,33.77747,-84.29291696,(404) 377-0221
EMORY REHABILITATION HOSPITAL,1441 CLIFTON ROAD NE,GA,33.79488234,-84.32053107,(404) 712-5512
EMORY UNIV HOSPITAL - EMORY UNIV ORTHO AND SPINE,1455 MONTREAL ROAD,GA,33.8262246,-84.24818414,(404) 712-2000
EMORY UNIVERSITY HOSPITAL,1364 CLIFTON ROAD NE,GA,33.79202283,-84.3222632,(404) 686-8500
EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE STREET NE,GA,33.76917466,-84.38673157,(404) 686-4411
EMORY UNIVERSITY HOSPITAL SMYRNA,3949 SOUTH COBB DRIVE,GA,33.8578131,-84.5131438,(404) 686-7288
ENCOMPASS HEALTH REHAB HOSPITAL OF SAVANNAH,6510 SEAWRIGHT DRIVE,GA,32.00754331,-81.09374375,(912) 235-6000
ENCOMPASS HEALTH REHABILITATION HOSPITAL CUMMING,1165 SANDERS ROAD,GA,34.178903,-84.127953,(470) 533-4200
EVANS MEMORIAL HOSPITAL,200 N RIVER STREET,GA,32.16588314,-81.89902445,(912) 739-5105
FAIRVIEW PARK HOSPITAL,200 INDUSTRIAL BOULEVARD,GA,32.5321546,-82.95040931,(478) 274-3100
FANNIN REGIONAL HOSPITAL,2855 OLD HIGHWAY 5 NORTH,GA,34.91773614,-84.3746432,(706) 632-3711
FLINT RIVER COMMUNITY HOSPITAL,"509 SUMTER STREET, PO BOX 770",GA,32.29498489,-84.03075419,(478) 472-3100
FLOYD MEDICAL CENTER,"304 TURNER MCCALL BLVD, PO BOX 233",GA,34.25975347,-85.17914532,(706) 509-6900
GEORGIA REGIONAL HOSP SAVANNAH,1915 EISENHOWER DRIVE,GA,32.00050407,-81.08090851,(912) 356-2045
GEORGIA REGIONAL HOSPITAL ATLANTA,3073 PANTHERSVILLE ROAD,GA,33.69619223,-84.27410662,(404) 243-2100
GRADY GENERAL HOSPITAL,1155 5TH STREET SE,GA,30.8637239,-84.19908623,(229) 377-0251
GRADY MEMORIAL HOSPITAL,80 JESSE HILL JR DRIVE SE,GA,33.75198855,-84.38179157,(404) 616-4252
GREENLEAF CENTER,2209 PINEVIEW DRIVE,GA,30.86015739,-83.25913322,(229) 671-6601
HABERSHAM COUNTY MEDICAL CTR,541 HISTORIC HIGHWAY 441 NORTH,GA,34.58144208,-83.53685905,(706) 754-2161
HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,GA,34.78973493,-84.98497692,(706) 272-6105
HIGGINS GENERAL HOSPITAL,200 ALLEN MEMORIAL DRIVE,GA,33.71672724,-85.14502029,(770) 812-2000
HOUSTON MEDICAL CENTER,1601 WATSON BOULEVARD,GA,32.61759391,-83.63093479,(478) 922-4281
HUGHES SPALDING CHILDREN'S HOSPITAL,1711 TULLIE CIRCLE NE,GA,33.83081606,-84.32896998,(404) 785-6096
IRWIN COUNTY HOSPITAL,710 N IRWIN AVENUE,GA,31.60338057,-83.25099895,(229) 468-3845
JASPER MEMORIAL HOSPITAL,898 COLLEGE STREET,GA,33.31419258,-83.68648212,(706) 468-6411
JEFF DAVIS HOSPITAL,163 SOUTH TALLAHASSEE STREET,GA,31.85720986,-82.60714696,(912) 375-7781
JEFFERSON HOSPITAL,1067 PEACHTREE ST,GA,33.00986749,-82.40554579,(478) 625-7000
JENKINS COUNTY MEDICAL CENTER,931 EAST WINTHROPE AVENUE,GA,32.80423951,-81.93453709,(478) 982-4221
JOHN D ARCHBOLD MEMORIAL HOSPITAL,915 GORDON AVENUE AND MIMOSA DRIVE,GA,30.82529031,-83.97225237,(229) 228-2880
LAKEVIEW BEHAVIORAL HEALTH SYSTEM,1 TECHNOLOGY PARKWAY SOUTH,GA,33.95691291,-84.21813574,(678) 713-2600
"LANDMARK HOSPITAL OF ATHENS, LLC",775 SUNSET DRIVE,GA,33.96643341,-83.41157103,(706) 425-1518
LANDMARK HOSPITAL OF SAVANNAH,800 E 68TH STREET,GA,32.02857158,-81.09510911,(573) 331-8420
LAUREL HEIGHTS HOSPITAL,934 BRIARCLIFF ROAD,GA,33.78008904,-84.3453322,(404) 888-7860
LIBERTY REGIONAL MEDICAL CENTER,462 E G MILES PARKWAY,GA,31.83960572,-81.6009201,(912) 369-9438
LIFEBRITE COMMUNITY HOSPITAL OF EARLY,11740 COLUMBIA STREET,GA,31.37366986,-84.94601249,(229) 723-4241
LIGHTHOUSE CARE CENTER OF AUGUSTA,3100 PERIMETER PARKWAY,GA,33.49082902,-82.08742866,(706) 651-0005
"LOWER OCONEE COMMUNITY HOSPITAL, INC",111 NORTH 3RD STREET,GA,32.18006795,-82.67208637,(912) 523-5113
MEDICAL CENTER OF PEACH COUNTY - NAVICENT HEALTH,1960 HIGHWAY 247 CONNECTOR,GA,32.60465684,-83.75895685,(478) 654-2000
MEMORIAL HEALTH MEADOWS HOSPITAL,1 MEADOWS PARKWAY,GA,32.20859527,-82.3752472,(912) 535-5828
MEMORIAL HEALTH UNIVERSITY MEDICAL CENTER,4700 WATERS AVENUE,GA,32.03053088,-81.08886242,(912) 350-3691
MEMORIAL HOSPITAL AND MANOR,1500 E SHOTWELL STREET,GA,30.90277398,-84.55244719,(229) 246-3500
MEMORIAL SATILLA HEALTH,1900 TEBEAU STREET,GA,31.22522139,-82.34827886,(912) 287-2500
MILLER COUNTY HOSPITAL,209 N CUTHBERT STREET,GA,31.17548231,-84.73501832,(229) 758-4231
MITCHELL COUNTY HOSPITAL,90 STEPHENS STREET,GA,31.22971988,-84.20554348,(229) 336-5284
MONROE COUNTY HOSPITAL,88 MARTIN LUTHER KING JR DRIVE,GA,33.03125664,-83.94595922,(478) 994-2521
MORGAN MEDICAL CENTER,1740 LIONS CLUB ROAD,GA,33.56870368,-83.47168277,(706) 342-1667
MOUNTAIN LAKES MEDICAL CENTER,162 LEGACY POINT,GA,34.8922958,-83.39353635,(706) 782-3100
NAVICENT HEALTH BALDWIN,821 NORTH COBB STREET,GA,33.08943825,-83.24584144,(478) 454-3550
NORTHEAST GEORGIA MEDICAL CENTER BARROW,316 NORTH BROAD STREET,GA,34.008053,-83.707254,(770) 848-8611
NORTHEAST GEORGIA MEDICAL CENTER LUMPKIN,227 MOUNTAIN DRIVE,GA,34.52283376,-83.97562878,(770) 219-7146
"NORTHEAST GEORGIA MEDICAL CENTER, INC",743 SPRING STREET,GA,34.30325528,-83.8179282,(770) 535-3553
NORTHSIDE HOSPITAL,1000 JOHNSON FERRY ROAD NE,GA,33.90891163,-84.35392464,(404) 851-8000
NORTHSIDE HOSPITAL CHEROKEE,450 NORTHSIDE CHEROKEE BOULEVARD,GA,34.229238,-84.466259,(770) 244-1000
NORTHSIDE HOSPITAL DULUTH,3620 HOWELL FERRY ROAD,GA,33.99972206,-84.16342505,(678) 312-1000
NORTHSIDE HOSPITAL FORSYTH,1200 NORTHSIDE FORSYTH DRIVE,GA,34.17759706,-84.1414718,(770) 844-3200
